Title,Company,Description
Data Analyst,"PT SMART,Tbk","Job Description Summary:: Job Description:: Job requirement:: ""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person"": Job Description Summary: Deforestation MRV to support compliance to policy, regulations and projects needed (government and markets); Monitoring and Reporting for Upstream & Downstream and ensured a proper and reliable verification for deforestation monitoring alerts towards transparent and responsible sourcing.   Job Description:   Job requirement:   ""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person"" To validate supplier-supply base data in TTP Declaration | To investigate and analyze third party supplier boundaries | Specific for EUDR : to ensure alert(s) (individual or connected) having size >0.5 hectares | To calculate and analyze comparative %NDV score each cycle | To report and update %NDV score in all GAR Downstream facilities each cycle | To develop justification for desktop-based calculation and collect evidence reports | To seek deforestation clarity from suppliers (internal & external engagement) | To do QC on reporting that matches to standard required by customers | To recalculate, verify and update final %NDV score according to provided field verification | To develop procedures or working instruction (SOP/IK) | To manage database of supply base | Bachelor's Degree with 2 years of work experience as a data analyst | Analytical skills with a focus on providing forward-looking insight and value added analysis | Applicants must be willing to work in Thamrin. | Full-Time position(s) available."
Data Analyst,PT Gunung Sari Indonesia,"Deskripsi Pekerjaan: 1. Mengumpulkan data melalui berbagai sumber (data internet, program internal Perusahaan)
2. Memproses dan merapikan data yang dikumpulkan untuk dibuatkan laporan 
3. Menganalisis data dan membuat rekomendasi keputusan yang bisa diambil berdasarkan data tersebut Kualifikasi:
1. Sarjana jurusan ekonomi, akuntansi, keuangan ataupun matematika
2. Dapat Mengoperasikan MS Excel
3. Memiliki Kemampuan Analisis Data dan teliti
4. Memiliki pengalaman dengan visualisasi dan pengolahan data
5. Memiliki kemampuan analisis yang baik untuk memahami dan menginterpretasikan data
6. Mampu berkomunikasi dengan baik"
Junior Data Compliance Officer,PT Daya5 Rekrutmen,"Tanggung Jawab:: Kualifikasi:: Tanggung Jawab:   Kualifikasi: Mengumpulkan dan memvalidasi data untuk memastikan kepatuhan terhadap regulasi yang berlaku. | Mencatat dan mendokumentasikan semua prosedur yang berkaitan dengan penyimpanan data secara akurat dan terkini. | Melakukan pemeriksaan awal terhadap data untuk mendeteksi eror. | Memantau pelaksanaan kebijakan dan prosedur data compliance dan melaporkan ketidaksesuaian yang ditemukan. | Mengelola akses data dan memastikan proses berjalan sesuai dengan kebijakan. | Memiliki latar belakang pendidikan minimal S1 dari jurusan Teknik Informatika, Sistem Informasi, Ilmu Komputer, atau jurusan serupa. | Memiliki pengalaman kerja minimal 3 tahun. | Memiliki kemampuan mengolah big data menggunakan SQL dan Microsoft Excel."
Data Scientist to Japan,Elite Tutors Indonesia,"The position is assigned for an IT corporation in Japan.: The candidate is allowed to work in other company during the program until his/her departure to Japan.: Numbers of Recruited Talents:: Steps in Indonesia: Step 1: Step 2: Step 3: Step 4: Step 5: Step 6: Step 7: Steps in Japan: Step 8: Step 9: Job Description: Required: Welcome: The position is assigned for an IT corporation in Japan.
Recruitment agency in Japan is conducted by Indonesia Manpower Solution K. K.
Recruitment agency in Indonesia is conducted by Hatarakimasu Indonesia by PT. Elite Tutors Indonesia.
Work locations are varied in some prefectures in Japan.
The candidate is allowed to work in other company during the program until his/her departure to Japan.

Numbers of Recruited Talents: 2 Data Scientists

Steps in Indonesia
Step 1 Administrative selection in the platform (October 2024);
Step 2 Administrative selection based on document evidence (October 2024);
Step 3 Interview in English by the Hatarakimasu Indonesia (November 2024);
Step 4 Program offer for the training and dispatching program by Hatarakimasu Indonesia (November 2024);
Step 5 Interview in Japanese by Indonesia Manpower Solution or its Partner (December 2024);
Step 6 Administrative departure preparation (January to March 2025);
Step 7 Departure to Japan (April 2025)

Steps in Japan
Step 8 Preparation to live in Japan
Step 9 Start to work with the Recruiter

Job Description
The candidate is responsible to
- Create a prediction model using networks, etc.;
- Perform anaylsis and hypothesis construction using technologies such as statatistical analysis and clustering, data analysis, algorithm implementation, machine learning (decision tree, logistics regression, random forest, naive Bayes classifier, k-nearest neighbor method, k-means method, neural network) at client destinations (various industries such as IT, manufacturers, finance, and services).

Required Welcome Minimum bachelor degree in engineering, computer science, or science; | Experience using programming languages such as Python and R; | Experience using framework such as Hadoop and Spark; | Japanese proficiency certified by minimum JLPT N3 or equivalent to JFT/NAT TEST; | Business level of English proficiency | Minimum 5 years of working experience; | English proficiency certified by minimum score 6.0 for IELTS or equivalent for iBT TOEFL/TOEIC."
Data Scientist,PT Simplefi Teknologi Indonesia (Jakarta),"Company Overview: Role: Responsibilities: Requirements: Company Overview AwanTunai is the leading vertical fintech player digitizing the offline FMCG supply chain in Indonesia. We solve for both operational and financing pain points through ERP software and integrated embedded financing for offline suppliers. Our traditional suppliers have aggregate annual sales of over $3bn+ and our embedded financing is on track to reach the annualized $1bn milestone next quarter. We have been growing revenues at an average 30% QoQ with 0.2% credit loss rates over the pandemic period across hundreds of traditional suppliers. Our financial impact has won accolades from the UNCDF, Monetary Authority of Singapore, and with the IFC (World Bank Group) as a major shareholder. Management and our impact focused shareholders are committed to building a world class team regardless of diversity or location.  Our fraud management has won the trust of global banking groups (MUFG, OCBC), the largest local institutions (Bank BRI, Bank Mandiri), as well as global insurers (AA rated Munich Re) who protect our loan assets against credit default. Role AwanTunai is looking for a Data Scientist who will analyze and interpret complex data using statistical methods, machine learning, and domain expertise to extract insights, make predictions, and drive data-driven decisions. Responsibilities Requirements Conduct data exploration and discovery, and advanced data mining analysis on spatial-temporal data, user behavioral data, transaction data, machine/device log data, and others | Conduct experiments with data, build working prototypes to demonstrate ideas and results | Build scalable pipeline and data science models with open source systems or proprietary tools | Collaborate with business teams to contribute to new use cases for solving clients’ problems | Participate in IP creation, such as patenting, case studies, white papers and research papers as determined by business needs | 3+ years experience of successful application of machine learning, data mining, and statistical analysis with demonstrable impact and proven track records | Demonstrated ability to take high level, loosely-defined business problems and identify precise, quantitative solutions  | Working knowledge of databases and query engines for structured and unstructured data, data transformation (ETL), software development methodologies, and data science languages like Python, R, or others | Self-starter, capable of experimenting with various tools and developing own code and scripts for data manipulation, experimentation, algorithm implementation, accuracy measurements, etc. | Familiar with basic software development skills (agile methodologies, testing, version control, etc.) | Preferred to have advanced degree in Computer Science, Machine Learning, Operational Research, Mathematics or Statistics, or other equivalent subjects | Preferred to be familiar with basic software development skills (agile methodologies, testing, version control, etc.)"
Data Scientist Program to Japan,Elite Tutors Indonesia,"The position is assigned for an IT corporation in Japan.: The candidate is allowed to work in other company during the program until his/her departure to Japan.: Numbers of Recruited Talents:: Steps in Indonesia: Step 1: Step 2: Step 3: Step 4: Step 5: Step 6: Step 7: Step 8: Steps in Japan: Step 9: Step 10: Job Description: Required: Welcome: The position is assigned for an IT corporation in Japan.
Recruitment agency in Japan is conducted by Indonesia Manpower Solution K. K.
Recruitment agency in Indonesia is conducted by Hatarakimasu Indonesia by PT. Elite Tutors Indonesia.
Work locations are varied in some prefectures in Japan.
The candidate is allowed to work in other company during the program until his/her departure to Japan.

Numbers of Recruited Talents: 5 Data Scientists

Steps in Indonesia
Step 1 Administrative selection in the platform (October 2024);
Step 2 Administrative selection based on document evidence (October 2024);
Step 3 Interview in English by the Hatarakimasu Indonesia (November 2024);
Step 4 Program offer for the training and dispatching program by Hatarakimasu Indonesia (November 2024);
Step 5 Online Japanese language and cultural training then exams for JLPT N3 (December 2024 - June 2025);
Step 6 Interview in Japanese by Indonesia Manpower Solution or its Partner (July 2025);
Step 7 Administrative departure preparation (August to October 2025);
Step 8 Departure to Japan (November 2025)

Steps in Japan
Step 9 Preparation to live in Japan
Step 10 Start to work with the Recruiter

Job Description
The candidate is responsible to
- Create a prediction model using networks, etc.;
- Perform anaylsis and hypothesis construction using technologies such as statatistical analysis and clustering, data analysis, algorithm implementation, machine learning (decision tree, logistics regression, random forest, naive Bayes classifier, k-nearest neighbor method, k-means method, neural network) at client destinations (various industries such as IT, manufacturers, finance, and services).

Required Welcome Minimum bachelor degree in engineering, computer science, or science; | Experience using programming languages such as Python and R; | Experience using framework such as Hadoop and Spark; | Business level of English proficiency | Minimum 5 years of working experience; | English proficiency certified by minimum score 6.0 for IELTS or equivalent for iBT TOEFL/TOEIC; | Japanese proficiency certified by JLPT, JFT, NAT TEST at any level."
Data Analyst,Sibernetik Integra Data,"Sibernetik Integra Data : Responsibilities:: Requirements:: Sibernetik Integra Data is an Indonesian Information Technology Company with years of experience in implementing real-time data streaming and integration solution for various applications across various industries and IT Security. Our teams consist of passionate and dynamic professionals with regular refreshed necessary knowledge and skill set. We are also in the middle of a journey, developing own intelligence product, combining our skillset, knowledge and experience in real-time data streaming technology and application development to answer our market needs and we want you to be a part of it. Interpret data, analyze results using statistical techniques, and provide ongoing reports. | Develop and implement databases, data collection systems, data analytics, and other strategies that optimize statistical efficiency and quality. | Acquire data from primary or secondary data sources and maintain databases/data systems. | Identify, analyze, and interpret trends or patterns in complex data sets. | Filter and ""clean"" data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems. | Work closely with management to prioritize business and information needs. | Locate and define new process improvement opportunities. | Technical expertise regarding data models, database design development, data mining, and segmentation techniques. | Strong knowledge of and experience with reporting packages (Business Objects etc.), databases (SQL, etc.), programming (XML, JavaScript, or ETL frameworks). | Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.). | Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy. | Adept at queries, report writing, and presenting findings. | Fluent in English. | BS in Mathematics, Economics, Computer Science, Information Management, or Statistics."
AI Engineer - SaaS (WFO from Bali),PT Michael Page Internasional Indonesia,"Client Details: Description: Profile: Job Offer: Client Details Our client is a multinational SaaS company based out of Denpasar, Bali. Description   Profile   Job Offer Opportunity to work integratively with global technology team Pioneering AI practices in the company To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Dyah Alya Gretiana on +62 21 2958 8817. Design, build, and optimize machine learning models to solve business challenges such as recommendation systems, anomaly detection, and automation features within the SaaS platform. | Integrate machine learning models into production, ensuring scalability, performance, and accuracy of AI-powered features. | Design, build, and optimize machine learning models to solve business challenges such as recommendation systems, anomaly detection, and automation features within the SaaS platform. | Integrate machine learning models into production, ensuring scalability, performance, and accuracy of AI-powered features. | Work with large datasets to preprocess, clean, and prepare data for training and validation of machine learning models. | Partner with cross-functional teams (product, software engineering, data science) to align AI initiatives with the company's strategic goals and customer needs. | Stay up to date with the latest advancements in AI/ML technologies and frameworks. Explore new techniques and approaches to enhance product capabilities. | Document AI processes, model architectures, and workflows to ensure reproducibility and maintainability. | Bachelor's or Master's degree in Computer Science, AI, Machine Learning, Data Science, or a related field. | 3+ years of experience in AI, machine learning, or data science roles, preferably in a SaaS environment. | Proficiency in Python and libraries such as TensorFlow, PyTorch, Scikit-learn, Keras. | Experience with cloud platforms (AWS, GCP, Azure) and deployment of AI/ML models in cloud environments. | Strong foundation in machine learning, deep learning, and NLP techniques. | Expertise in data structures, algorithms, and model optimization. | Experience with data processing frameworks such as Pandas, Spark, or Dask."
Data Analyst,WINOD RITEL INDONESIA,"Gambaran Umum Pekerjaan :: Kualifikasi :: Gambaran Umum Pekerjaan : Kualifikasi : Memahami dengan baik sistem database produk-produk perusahaan. | Memelihara sistem database perusahaan. | Berkolaborasi dengan Head Store untuk memperoleh data yang dibutuhkan perusahaan. | Mengatur data yang diperoleh untuk dikelola sesuai jenis datanya. | Mempresentasikan data yang telah diproses dalam sebuah rapat untuk dijelaskan kepada seluruh tim tentang data yang ada sehingga bisa digunakan sesuai kebutuhan | Merancang dan mengimplementasikan database, sistem pengumpulan data, analisis data, dan strategi lainnya dengan tujuan meningkatkan efisiensi dan kualitas statistik.  | Menganalisis, mengevaluasi, dan memahami tren atau pola dalam kumpulan data yang kompleks | Melakukan kerjasama dengan manajemen dalam menetapkan prioritas kebutuhan bisnis dan informasi. | Usia maks.35 Tahun | Berpengalaman sebagai Data Analyst min. 1 tahun | Pendidikan D3/D4/S1 Jurusan Bisnis, Keuangan, atau lainnya yang sesuai | Menguasai rumus Microsoft Excel (wajib) | Memiliki skill problem-solving | Responsif dan komunikatif | Teliti dan rapi | Dapat berbahasa Indonesia dengan fasih | Bertanggungjawab, jujur, dan disiplin | Mampu bekerja dibawah tekanan | Memiliki kemampuan dan keterampilan analitis yang kuat dalam mempelajari fungsi bisnis dengan kemampuan untuk mengumpulkan, mengatur, menganalisis, mengevaluasi kebutuhan bisnis, dan menyebarkan informasi memperhatikan detail dan akurasi."
Artificial Intelligence Researcher,PT eBdesk Teknologi,"Key Responsibilities:: Qualifications:: Ready for commitment for 3 years development program.: Key Responsibilities:   Qualifications: Conduct research to develop state-of-the-art AI and machine learning algorithms, models, and techniques that can be applied to various data-related challenges in the IT domain. | Analyze large datasets to gain insights, discover patterns, and make data-driven recommendations for improving our products and services. | Design and implement machine learning models and algorithms for tasks like data classification, regression, clustering, anomaly detection, and natural language processing. | Train and validate AI models using relevant data and benchmark them for accuracy, performance, and scalability. | Conduct experiments and A/B testing to evaluate the effectiveness of AI-driven features and improvements. | Collaborate with cross-functional teams, including data engineers, software developers, and domain experts, to integrate AI solutions into products and services. | Keep up-to-date with the latest advancements in AI and data science, and apply this knowledge to enhance our company's technical capabilities. | Document research findings, algorithms, and code to ensure knowledge transfer and maintain a knowledge base. | A bachelor’s degree in computer science, or related field. | Strong background in machine learning, deep learning, natural language processing, and data analysis. | Proficiency in programming languages such as Python, R. | Experience with deep learning frameworks such as PyTorch and TensorFlow. | Experience with data visualization tools and libraries. | Strong problem-solving and critical thinking skills. | Effective communication skills to collaborate with diverse teams and present findings to non-technical stakeholders. | A passion for AI research and a track record of innovation through publications, patents, or real-world projects. | Willing to be placed at Pondok Aren, Bintaro, South Tangerang. | Ready for commitment for 3 years development program."
Data Scientist - Telematics (A-109705),RGF HR Agent Indonesia,"About The Company:: South Jakarta.: Data Scientist.: Job Responsibilities:: Job Requirements:: Bachelor's degree in Computer Science/Information Management/ Statistics/Mathematics.: Business English proficiency.: Minimum 4 years as data scientist experienced in IoT and or Telematics related field being advantageous, experienced in Machine learning, programming (Pithon/ R), Big data technology, Data visualiation.: Maximum 40 years old.: [Only CV in English will be processed]: We RGF HR Agent Indonesia is strictly following the personal data protection law in Indonesia. Please kindly use our recruitment service after understanding our Terms and Condition as well as Privacy Policy as follows :: RGF Indonesia Terms of Use: RGF Indonesia Privacy Policy: RGF Indonesia Internal hiring Global Privacy Policy: RGF Indonesia Internal hiring Indonesia Privacy Policy: About The Company: Job Responsibilities: Job Requirements: [Only CV in English will be processed]     We RGF HR Agent Indonesia is strictly following the personal data protection law in Indonesia. Please kindly use our recruitment service after understanding our Terms and Condition as well as Privacy Policy as follows : RGF Indonesia Terms of Use : https://www.rgf-hragent.asia/en/indonesia/termsofuse RGF Indonesia Privacy Policy : https://www.rgf-hragent.asia/en/indonesia/termsofuse#personal RGF Indonesia Internal hiring Global Privacy Policy : https://www.rgf-hragent.asia/en/indonesia/privacy-policy-of-internal-hiring RGF Indonesia Internal hiring Indonesia Privacy Policy : https://www.rgf-hragent.asia/en/indonesia/privacy-policy-of-internal-hiring-annex The working venue is in South Jakarta. | Our client is a Software company. Currently, they are looking for Data Scientist. | Gather data from primary and secondary sources, ensuring the upkeep of databases and data systems. | Detect, examine, and decode trends or patterns within intricate datasets. | Cleanse data and scrutinize computer-generated reports and outputs to identify and rectify coding errors. | Coordinate with management to align business and informational priorities. | Identify opportunities for process enhancements. | Employ statistical techniques to scrutinize data and produce actionable business insights. | Collaborate with the management team to determine and rank the needs of different business units. | Develop data dashboards, charts, and visual aids to support decision-making across departments. | Convey insights through both reports and visual presentations. | Partner with engineering and product development teams to understand business requirements. | Engage with managers from various departments to specify data requirements for analysis projects tailored to their unique business processes. | Other responsibilities as needed. | Bachelor's degree in Computer Science/Information Management/ Statistics/Mathematics. | Business English proficiency. | Minimum 4 years as data scientist experienced in IoT and or Telematics related field being advantageous, experienced in Machine learning, programming (Pithon/ R), Big data technology, Data visualiation. | Maximum 40 years old. | Has ability with tools(please share the tools), able to approach data analytically, identify trends and anomalies, and make data-driven decisions, experienced in managing and analyzing large volumes of data with big data technologies, understanding the complexities and challenges of big data environments. | Experienced in applying various analytical and modeling techniques to understand data, make predictions, and test hypotheses, able to transforming data into a more useful and interpretable form using normalization, scaling, and feature engineering techniques. | Smart, able to work with less supervision, good work ethics, flexible."
