Title,Company,Description
Data Analyst / Data Scientist,Bali Love,"Collaborate with stakeholders to understand business challenges and develop data-driven solutions. | Build, deploy, and refine machine learning models for tasks such as predictive analysis, classification, and clustering. | Conduct exploratory data analysis and feature engineering to uncover meaningful insights from large datasets. | Apply advanced statistical methods and machine learning algorithms to create effective data models. | Create compelling data visualizations, reports, dashboards, and presentations to communicate insights and recommendations. | Stay current with the latest data science technologies, trends, and best practices. | Bachelor’s or Master’s degree in Data Science, Statistics, Applied Mathematics, or a related field. | Proficiency in Python and R for data analysis and machine learning tasks. | Strong knowledge of machine learning algorithms (e.g., regression, clustering, decision trees, deep learning). | Experience using data visualization tools such as Tableau, Power BI, Matplotlib, or Seaborn. | Hands-on experience with machine learning frameworks like TensorFlow, PyTorch, or Scikit-learn. | Understanding of A/B testing, hypothesis testing, and other statistical analysis methods. | Experience in deploying and maintaining machine learning models. | Experience working with big data platforms (e.g., Hadoop, Spark) or cloud platforms (e.g., AWS, Google Cloud). | Experience with SQL for database management and querying. | Familiarity with data engineering tools and techniques. | Competitive salary and career growth opportunities. | Flexible working hours with the option to work remotely. | Be part of a collaborative and forward-thinking team. | Opportunity to influence business decisions through data-driven insights in a rapidly growing industry."
Data Enterprise Analyst,PT Mandiri Tunas Finance,"Deskripsi Pekerjaan: Kualifikasi : Mengumpulkan, membersihkan, dan menganalisis data dalam jumlah besar untuk mengidentifikasi tren, pola, dan wawasan. | Mengembangkan dan memelihara dashboard serta laporan untuk melacak indikator kinerja utama (KPI). | Membantu dalam desain dan implementasi data warehousing serta proses ETL (Extract, Transform, Load). | Mendukung inisiatif tata kelola data untuk memastikan kualitas dan kepatuhan data terhadap regulasi. | Mengkomunikasikan konsep terkait data yang kompleks dengan cara yang mudah dipahami oleh audiens non-teknis. | Memelihara dokumentasi terkait proses data, analisis, dan temuan untuk referensi dan kepatuhan di masa mendatang. | Tetap memperbarui pengetahuan mengenai tren industri dan teknologi baru yang terkait dengan analisis data. | Pendidikan minimal S1 di bidang Ilmu Komputer, Data Science, Statistika, atau bidang terkait (gelar master lebih diutamakan), dengan IPK minimal 3,20. | Familiar dengan platform cloud seperti AWS, Google Cloud, atau Azure dapat menjadi nilai tambah. | Penguasaan SQL dan setidaknya satu bahasa pemrograman (misalnya, Python, R). | Pengalaman dengan alat visualisasi data (misalnya, Tableau, Power BI)."
Data Analyst,Pengiklan Anonim,"Perusahaan distributor FMCG besar membutuhkan segera : : DATA ANALYST : Tugas & Tanggung Jawab :: Kualifikasi :: Perusahaan distributor FMCG besar membutuhkan segera :    DATA ANALYST    Tugas & Tanggung Jawab :   Kualifikasi : Perusahaan menawarkan : 5 hari kerja/minggu ,  gaji yang kompetitif sesuai dengan pengalaman dan kualifikasi , transportasi  antar jemput ,  catering makan siang , BPJS Ketenagakerjaan, BPJS Kesehatan , THR , Hak Cuti , Bonus ( tergantung prestasi Perusahaan ) .  Melakukan analisis  data (data analystic)  dengan menggunakan system  yang dipakai perusahaan | Memelihara dan melakukan pengkinian data customer  termasuk memperbaiki kesalahan data customer . | Melakukan verifikasi akurasi  laporan penjualan yang  masuk ke system Perusahaan yang dikirim dari setiap daerah. | Melakukan download data penjualan dan membuat laporan laporan penjualan dan distribusi yang ditetapkan . | Melakukan download  data penjualan dan menghitung prestasi pencapaian  setiap sales force dan setiap daerah untuk kemudian buat perhitungan insentif sales force . | Melakukan pembaruan jadwal kunjungan sales force ( penambahan toko baru , penutupan toko , revisi jadwal kunjungan , dll ) dan melakukan upload data di system  . | Melakukan tugas tugas lain yang diberikan sesuai kebutuhan Perusahaan  | Pria/wanita, usia min. 28 th | Pendidikan min S1 -  IT jurusan System Informatika  | Menguasai software business intelligence seperti Power BI /Tableu /HPY | Lebih disukai apabila mengerti mengenai  SAP B1 | Mahir  menggunakan MS Office terutama excel  | Pengalaman  kerja dalam mengolah data /laporan menggunakan software BI dan excel  min. 3 tahun  | Memiliki kemampuan analisa yang baik  | Teliti , detail dan disiplin | Komunikasi baik"
Business Analyst,PT Depoguna Bangunan Online,"KLASIFIKASI: DESKRIPSI PEKERJAAN:: KLASIFIKASI DESKRIPSI PEKERJAAN: Familiar dengan Software Development Life Cycle (SDLC) | Mampu melakukan pengelolaan product backlog untuk pengembangan produk yang akan di kembangkan | Memiliki pengetahuan tentang database dan datawarehouse | Mahir menggunakan tools Ms. Visio atau semacamnya. | Lulusan S1 SI / TI | Usia 24-35 Tahun | Memiliki Pengalaman 3-4 Tahun di Business Analyst | Melakukan review keseluruhan dokumen UR (User Requirement) yang telah dibuat oleh tim product yang akan masuk ke dalam proses pengembangan aplikasi dan membuat (Functional Specification Document) untuk membantu menterjemahkan kebutuhan user lebih detail secara fungsional mulai dari ruang lingkup, fitur yang diharapkan, fungsionalitas yang diperlukan dan potensi kendala kepada tim Engineer. | Menyusun UR (User Requirement) non-product related yang akan masuk ke dalam proses pengembangan aplikasi dan membuat (Functional Specification Document) untuk membantu menerjemahkan kebutuhan user lebih detail secara fungsional mulai dari ruang lingkup, fitur yang diharapkan, fungsionalitas yang diperlukan dan potensi kendala kepada tim Engineer. | Memonitor proses development mulai dari penyerahan dokumen UR (User Requirement) ke tim Engineering sampai dengan aplikasi go-live. | Memonitor kelengkapan seluruh dokumen pengembangan yang meliputi: UR (User Requirement), FSD (Functional Specification Document) dan TRD (Technical Requirement Document) agar akurat dan update untuk pengembangan di versi selanjutnya. | Melakukan pemetaan, analisa dan identifikasi bisnis proses dari seluruh proses (aktivitas) yang berjalan di operasional Perusahaan, termasuk juga untuk proses pembuatan aplikasi maupun pengembangan fitur yang sesuai dengan kebutuhan bisnis. | Melakukan evaluasi dan mengusulkan pengembangan terhadap business process, baik yang berupa integrasi, automation, hal keamanan (resiko yang lebih baik), dsb. | Memfasilitasi komunikasi dan koordinasi dengan user terkait pengembangan dan penggunaan aplikasi untuk menjaga standar dari semua sistem yang dikembangkan dapat digunakan sesuai rancangan. | Mendetailkan kebutuhan product owner maupun user tertentu mengenai feature yang akan di kembangkan agar lebih jelas dan mudah dipahami oleh team engineer mengenai goals yang ingin dicapai. | Melakukan grooming untuk menjelaskan product requirement yang sudah difinalkan ke engineer, serta juga untuk bisa mendapatkan feedback dan kebutuhan teknis untuk proses development | Membuat dokumentasi terkait pengembangan aplikasi secara lengkap dan detail. | Memfasilitasi dan membantu agenda scrum serta memastikan proses development sesuai dengan timeline yang sudah direncanakan | Mengerjakan program-program improvement yang inovatif yang sejalan dengan kebutuhan perusahaan serta untuk meningkatkan produktivitas dan hasil di operasional. | Berkoordinasi dengan Engineer, QA maupun pihak yang terkait untuk memastikan root cuase setiap bugs atau issues yang terjadi serta merencanakan solusi permanen agar tidak terjadi lagi."
Data Analyst Supervisor,PT. Master Persada Indonesia,"Deskripsi Pekerjaan:: Kualifikasi:: Deskripsi Pekerjaan:   Kualifikasi:   Merancang dan memelihara sistem data kunjungan sales dan database customer | Mengidentifikasi data dari sumber primer dan sekunder | Menyiapkan laporan untuk mengkomunikasikan data dalam bentuk tren, pola, dan prediksi menggunakan data yang relevan | Membantu user untuk mengidentifikasi korelasi serta pola dari data-data tersebut | Melakukan analisa data penjualan secara menyeluruh, meliputi analisa customer, penetrasi area, analisa kompetitor, monitoring dan evaluasi area penjualan. | Usia 25 - 35 tahun | Pendidikan S1 Semua jurusan (diutamakan statistic/matematika) | Pengalaman minimal 2 tahun dibidang pengolahan data dan analisa | Dapat mengoperasikan MS. Excel level advanced | Penempatan di Pegangsaan Dua, Jakarta Utara"
Data analyst Accounting,PT Bevananda Mustika,"Tanggung Jawab Pekerjaan :: Kualifikasi :: (Excel Advanced) : Tanggung Jawab Pekerjaan :
• Memperbantukan tugas administrasi 
• Melakukan entry data melalui sistem administrasi yang baik
• Mengelola arsip dan dokumen administratif dengan filling sistem yang baik
• Melakukan Rekonsiliasi data, PPN, PPH, Biaya, Pembelian, Penjualan, hutang, Piutang
• Menyiapkan seluruh dokumen administrasi untuk keperluan operasional

Kualifikasi :
• Usia 20 s/d 28 tahun
• Lulusan D3-S1 Informatika & Akutansi
• Memahami database dan data query
• Menguasai Analisis data (Excel Advanced) 
• Baik, Jujur, dan Sopan
• Bisa bekerja dalam tim"
Revenue Analyst Supervisor,Veranda Hotels & Residences,"Revenue Analyst Supervisor Hotel   Requirements:   Job Descriptions: Min. D3 or Bachelor degree is desirable | Had experience working at min. 4 star hotel | Had min 1 year experience working as a Revenue Analyst/Reservation Supervisor or min 2 years as a Reservation Staff | Proven knowledge of Revenue Management Software Systems and Property Management System (Power Pro) is a plus | Strong research and analytical skills | Monitor and manage the performance of various online and offline distribution channels, including online travel agencies (OTAs), direct bookings, and corporate contracts. | Provide data and analysis to the Revenue Manager to make effective decisions to execute strategies and actions for total revenue management | Oversee the hotel's room inventory, and implement yield management techniques to maximize revenue during periods of high demand and optimize inventory during low-demand periods | Update, market research about competitor's hotel price | Generate regular reports and performance metrics related to revenue and work closely with Revenue Manager"
Data Analyst (Beauty & Cosmetic),PT ST Morita Industries (MORITA GROUP),"About Company: beauty, healthy and happiness: Skinoasis: Job Descriptions :: Qualifications :: Follow, comment and share IG official account @: skinoasis.id: for your benefits: About Company ST. MORITA FARMA is a Beauty Manufacturer Company and Exclusive Distributor for Korea Nano-Technology Skincare Brand and Cosmetics. Our dream is all about creating beauty, healthy and happiness. We develop our products together with our RND based in Korea, Japan, Europe and USA. We also collaborate with ITB Nanoscience and Nanotechnology Research Center and Korea Natural Biomaterial Technology Company to create products focused on combining natural ingredients with advanced cosmeceuticals technology. We run with excellent experts in research and development, production, extraction process in cosmetic technologies to provide a high qualified beauty product that suits skin needs.   We create a special platform called Skinoasis, a platform that meets products, experts and customers.  This platform curates all natural and nano-bio active skincare products that are clinically proven based on years of research and sciences. This platform would provide not only products but also live consultation with beauty experts and doctors through NanoAcademy Consultation, give customers a new experience to start their beauty journey and provide trusted solutions because Skinoasis, The Beauty Trusted. https://www.instagram.com/skinoasis.id/  https://skinoasis.id/   Job Descriptions :   Qualifications : Collect data through a variety of sources (online databases, company record, public datasets) and ensure data accuracy  | Process the collected data (data cleaning, and data aggregation) | Analyze data  through a variety of techniques (univariate or bivariate analysis, Time-series analysis, Regression analysis) | Visualize the data using tools (excel, tableau, phyton)  | Produce useful insights in the decision-making process | Bachelor degree of  Informatics/ Computer Science and related major from Reputable Universities | Fresh Graduate or  2 years work experience as a Data Analyst or similar position | Familiar and experienced with data visualization and reporting tools | Mastering data analysis tools and languages | Have a great interest of skincare/cosmetic products and beauty industry | Have good analytical skills to understand and interpret data, as well as experience in using statistical techniques for analysis. | Able to communicate well, both verbally and in writing. | Follow, comment and share IG official account @skinoasis.id for your benefits"
Data Analyst,PT Global Jet Cargo,"Requirements :: Min. 2 years work experience in related field.: Transportation: Logistics: Placement: Kosambi, Tangerang: Daily Activity :: Requirements :   Daily Activity : Maximal age 30 years old. | Min. D3 education in all majors. | Min. 2 years work experience in related field. | Experience working with Transportation or Logistics data will be a plus. | Excellent knowledge of Ms. Excel (Vlookup, Hlookup, Pvot and Basic Data Analyst) and Google Sheets. | Good communication skills to explain analysis results to other teams, including non-technical teams. | Highly organized with strong time management skills, able to meet tight deadlines. | Ability to work independently as well as in a team. | Placement: Kosambi, Tangerang | Create GW JKT99A instock forecast report every 2 hours. | Create GW JKT99A external route Incoming Data report every 4 hours. | Processing ADD car preparation calculation data every time needed. | Assist in monitoring available vehicles to improve the accuracy of transit package departure rate."
,KKV INTERNATIONAL INDONESIA,"Responsibilities: Qualifications: Responsibilities - Maintain employee records (attendance, transfers, promotions, rewards and penalties, etc.) in accordance with policy requirements.  - Assist in payroll preparation by providing relevant data, including absenteeism, bonuses, and leave information. - Prepare documentation for human resources policies and procedures.  - Handle employee requests and provide necessary information.  - Maintain both physical and digital personnel records, including employment contracts and leave requests.  - Update the internal database by entering new employee information.  - Create and distribute guides and FAQs about company policies.   Qualifications - Experience as an HR Officer or in a similar role.  - Strong English communication skills.  - Chinese proficiency is preferred.  - Familiarity with Human Resources Information Systems (HRIS).  - Basic knowledge of labor law.  - Proficiency in using spreadsheets. - Strong organizational skills. - Excellent verbal and written communication skills. - Bachelor’s degree in Human Resources Management or a related field."
Business Analyst,PT Sumber Indah Lestari (DAN+DAN),Kualifikasi Pekerjaan: Deskripsi Pekerjaan: Sudah memiliki pengalaman pada bidang ini minimal 1thn | Memiliki kemampuan analisa dan identifkasi masalah | Memahami dunia retail dengan baik | Memahami Sistem Manajemen keamanan Informasi (SMKI) | Mampu menggunakan SQL | Mengidentifikasi maslah yang terjadi selama project berlangsung | menganalisasi tingkat efektivitas promo yang berjalan | melakukan validasi data pencapaian project yang diberikan oleh pihak eksternal | Monitoring kinerja improvement yang telah diimplementasikan di internal perusahaan
DATA ANALIS - JATIBARANG,PT Fastrata Buana (Distributor Kapal Api),"Tanggung Jawab:: Kualifikasi:: JATIBARANG: Tanggung Jawab: Kualifikasi: Membuat laporan penjualan cabang berupa data pencapaian target, pertumbuhan penjualan, fluktuasi penjualan dan data pareto outlet agar dapat digunakan oleh Branch Manager sebagai dasar analisa dan pengambilan keputusan | Usia maks 30 tahun | Pendidikan DIII/ S1 Jurusan statistik/ matematika/teknik informatika | Pengalaman minimal 1 Tahun sebagai Data Analis | Paham MS Excell tingkat mahir | Diutamakan pengalaman menggunakan sistem Oracle | Penempatan : JATIBARANG"
Business Analyst,PT Jasa Kelola Asia,"a. Min 3 Years Experience as IT Business Analyst/Business Analyst Life Asia b. Having Experience in Life Insurance Industry (Mandatory) c. Able to articulate requirement and translate high level into low level requirements. d. Master common requirement modelling language i.e. process flow, use case, data flow diagram, etc. e. Get the sense of requirement to determine its feasibility, usability, and value. f. Possess skill to speak different language depending on the audience when presenting concept/idea. g. Dare to challenge business user and say no when requested feature is not feasible, usable, and valuable. h.Having Analytical Skills, Quality Assurance Testing, Lifeasia, SQL Query"
BI Analyst,PT Kredit Pintar Indonesia,"INNOVATION: EFFICIENCY: QUALITY :  INTEGRITY: COLLABORATION: About Atome Financial   Headquartered in Singapore, Atome Financial is building a world-class tech enabled financial services platform that is the best companion of our customers lifetime. As a part of the Advance Intelligence Group, a Series D fintech unicorn and ranked Top 10 on LinkedIn’s 2023 Top Singapore StartUps list with over 1,400+ staff worldwide, we are united by a shared vision and purpose: to Advance with Intelligence for a Better Life--for our customers, colleagues and communities.   Atome Financial operates in 5 ASEAN markets (Singapore, Malaysia, Indonesia, Philippines, and Thailand). We have 3 key products: • Atome BNPL: A leading buy now pay later brand in ASEAN and partners over thousands of online and offline brands • Atome Card: A paylater anywhere card. • Kredit Pintar: A leading Indonesia digital lending apps, regulated and supervised by Indonesia's Financial Services Authority (OJK).   Our culture is built on values that are core to who we are and what we stand for: 1. We foster an INNOVATION mindset 2. We achieve results with EFFICIENCY and excellence 3. We take pride in the QUALITY of our work 4. We uphold INTEGRITY in all we do 5. We embrace COLLABORATION to work across business lines and borders   Responsibilities:   Requirements:   Preferred Qualifications Extract and process huge amounts of data from various sources on the internal big-data platform. | Work closely with operation/marketing/finance/partnership teams across different markets, to help provide insights for decision and to develop/maintain effective data visualization. | In-charge of end-to-end analytics projects, from context gathering to data presentation. | Understand the modeling skills of data warehouse. Can work on top of the data warehouse and provide feedback on new data requests. | Bachelor’s / Master’s Degree in Computer Science/IT/Statistics/Engineer/Business Analytics or any other related fields. | At least 1-2 years experience in business intelligence analytics. | Proficient in writing SQL queries. | Ability to work with complex data sets. | Strong communication and presentation skills, as well as an analytical mindset. | Familiar with Tableau. | Familiar with Apache Spark. | Familiar with Python. | Familiar with Git (optional)."
Junior Data Compliance Officer,PT Daya5 Rekrutmen,"Tanggung Jawab:: Kualifikasi:: Tanggung Jawab:   Kualifikasi: Mengumpulkan dan memvalidasi data untuk memastikan kepatuhan terhadap regulasi yang berlaku. | Mencatat dan mendokumentasikan semua prosedur yang berkaitan dengan penyimpanan data secara akurat dan terkini. | Melakukan pemeriksaan awal terhadap data untuk mendeteksi eror. | Memantau pelaksanaan kebijakan dan prosedur data compliance dan melaporkan ketidaksesuaian yang ditemukan. | Mengelola akses data dan memastikan proses berjalan sesuai dengan kebijakan. | Memiliki latar belakang pendidikan minimal S1 dari jurusan Teknik Informatika, Sistem Informasi, Ilmu Komputer, atau jurusan serupa. | Memiliki pengalaman kerja minimal 3 tahun. | Memiliki kemampuan mengolah big data menggunakan SQL dan Microsoft Excel."
